A1BG        P04217
A1CF        Q9NQ94
A2M         P01023
A2ML1       A8K2U0
A3GALT2     U3KPV4
A4GALT      Q9NPC4
A4GNT       Q9UNA3
AAAS        Q9NRG9
AACS        Q86V21
AADAC       P22760
AADACL2     Q6P093
AADACL3     Q5VUY0
AADACL4     Q5VUY2
AADAT       Q8N5Z0
AAED1       Q7RTV5
AAGAB       Q6PD74
AAK1        Q2M2I8
AAMDC       Q9H7C9
AAMP        Q13685
AANAT       Q16613
AAR2        Q9Y312
AARD        Q4LEZ3
AARS        P49588
AARS2       Q5JTZ9
AARSD1      Q9BTE6
AASDH       Q4L235
AASDHPPT    Q9NRN7
AASS        Q9UDR5
AATF        Q9NY61
AATK        Q6ZMQ8
ABAT        P80404
ABCA1       O95477
ABCA2       Q9BZC7
ABCA3       Q99758
ABCA4       P78363
ABCA5       Q8WWZ7
ABCA6       Q8N139
ABCA7       Q8IZY2
ABCA8       O94911
ABCA9       Q8IUA7
ABCA10      Q8WWZ4
ABCA12      Q86UK0
ABCA13      Q86UQ4
ABCB1       P08183
ABCB4       P21439
ABCB5       Q2M3G0
ABCB6       Q9NP58
ABCB7       O75027
ABCB8       Q9NUT2
ABCB9       Q9NP78
ABCB10      Q9NRK6
ABCB11      O95342
ABCC1       P33527
ABCC2       Q92887
ABCC3       O15438
ABCC4       O15439
ABCC5       O15440
ABCC6       O95255
ABCC8       Q09428
ABCC9       O60706
ABCC10      Q5T3U5
ABCC11      Q96J66
ABCC12      Q96J65
ABCD1       P33897
ABCD2       Q9UBJ2
ABCD3       P28288
ABCD4       O14678
ABCE1       P61221
ABCF1       Q8NE71
ABCF2       Q9UG63
ABCF3       Q9NUQ8
ABCG1       P45844
ABCG2       Q9UNQ0
ABCG4       Q9H172
ABCG5       Q9H222
ABCG8       Q9H221
ABHD1       Q96SE0
ABHD2       P08910
ABHD3       Q8WU67
ABHD4       Q8TB40
ABHD5       Q8WTS1
ABHD6       Q9BV23
ABHD8       Q96I13
ABHD10      Q9NUJ1
ABHD11      Q8NFV4
ABHD12      Q8N2K0
ABHD12B     Q7Z5M8
ABHD13      Q7L211
ABHD14A     Q9BUJ0
ABHD14B     Q96IU4
ABHD15      Q6UXT9
ABHD16A     O95870
ABHD16B     Q9H3Z7
ABHD17A     Q96GS6
ABHD17B     Q5VST6
ABHD17C     Q6PCB6
ABHD18      Q0P651
ABI1        Q8IZP0
ABI2        Q9NYB9
ABI3        Q9P2A4
ABI3BP      Q7Z7G0
ABL1        P00519
ABL2        P42684
ABLIM1      O14639
ABLIM2      Q6H8Q1
ABLIM3      O94929
ABO         P16442
ABR         Q12979
ABRA        Q8N0Z2
ABRACL      Q9P1F3
ABRAXAS1    Q6UWZ7
ABRAXAS2    Q15018
ABT1        Q9ULW3
ABTB1       Q969K4
ABTB2       Q8N961
ACAA1       P09110
ACAA2       P42765
ACACA       Q13085
ACACB       O00763
ACAD8       Q9UKU7
ACAD9       Q9H845
ACAD10      Q6JQN1
ACAD11      Q709F0
ACADL       P28330
ACADM       P11310
ACADS       P16219
ACADSB      P45954
ACADVL      P49748
ACAN        P16112
ACAP1       Q15027
ACAP2       Q15057
ACAP3       Q96P50
ACAT1       P24752
ACAT2       Q9BWD1
ACBD3       Q9H3P7
ACBD4       Q8NC06
ACBD5       Q5T8D3
ACBD6       Q9BR61
ACBD7       Q8N6N7
ACCS        Q96QU6
ACCSL       Q4AC99
ACD         Q96AP0
ACE         P12821
ACE2        Q9BYF1
ACER1       Q8TDN7
ACER2       Q5QJU3
ACER3       Q9NUN7
ACHE        P22303
ACIN1       Q9UKV3
ACKR1       Q16570
ACKR2       O00590
ACKR3       P25106
